FNo,ObjectCount,Time,Type,start,end,ObjectColour
1198,0,0,NA,NA,NA,NA
1199,0,0,NA,NA,NA,NA
1200,0,0,NA,NA,NA,NA
1201,0,0,NA,NA,NA,NA
1202,0,0,NA,NA,NA,NA
1203,0,0,NA,NA,NA,NA
1204,0,0,NA,NA,NA,NA
1205,0,0,NA,NA,NA,NA
1206,0,0,NA,NA,NA,NA
1207,0,0,NA,NA,NA,NA
1208,0,0,NA,NA,NA,NA
1209,0,0,NA,NA,NA,NA
1210,0,0,NA,NA,NA,NA
1211,0,0,NA,NA,NA,NA
1212,0,0,NA,NA,NA,NA
1213,0,0,NA,NA,NA,NA
1214,0,0,NA,NA,NA,NA
1215,0,0,NA,NA,NA,NA
1216,0,0,NA,NA,NA,NA
1217,0,0,NA,NA,NA,NA
1218,0,0.998,NA,NA,NA,NA
1219,0,0,NA,NA,NA,NA
1220,0,1.002,NA,NA,NA,NA
1221,0,0,NA,NA,NA,NA
1222,0,1.045,NA,NA,NA,NA
1223,0,0,NA,NA,NA,NA
1224,0,0,NA,NA,NA,NA
1225,0,0.962,NA,NA,NA,NA
1226,0,0,NA,NA,NA,NA
1227,0,0,NA,NA,NA,NA
1228,0,0,NA,NA,NA,NA
1229,0,0,NA,NA,NA,NA
1230,0,0,NA,NA,NA,NA
1231,0,0,NA,NA,NA,NA
1232,0,0,NA,NA,NA,NA
1233,0,0,NA,NA,NA,NA
1234,0,0,NA,NA,NA,NA
1235,0,0,NA,NA,NA,NA
1236,0,1.001,NA,NA,NA,NA
1237,0,0,NA,NA,NA,NA
1238,0,0,NA,NA,NA,NA
1239,0,0,NA,NA,NA,NA
1240,0,0,NA,NA,NA,NA
1241,0,1.193,NA,NA,NA,NA
1242,0,0,NA,NA,NA,NA
1243,0,0,NA,NA,NA,NA
1244,0,0,NA,NA,NA,NA
1245,0,0,NA,NA,NA,NA
1246,0,0,NA,NA,NA,NA
1247,0,1.004,NA,NA,NA,NA
1248,0,0,NA,NA,NA,NA
1249,0,0.999,NA,NA,NA,NA
1250,0,0,NA,NA,NA,NA
1251,0,0,NA,NA,NA,NA
1252,0,0,NA,NA,NA,NA
1253,0,0,NA,NA,NA,NA
1254,0,0,NA,NA,NA,NA
1255,0,0,NA,NA,NA,NA
1256,0,0,NA,NA,NA,NA
1257,0,0,NA,NA,NA,NA
1258,0,1.001,NA,NA,NA,NA
1259,0,1,NA,NA,NA,NA
1260,0,0,NA,NA,NA,NA
1261,0,0,NA,NA,NA,NA
1262,0,0,NA,NA,NA,NA
1263,0,0,NA,NA,NA,NA
1264,0,0,NA,NA,NA,NA
1265,0,1.001,NA,NA,NA,NA
1266,0,0,NA,NA,NA,NA
1267,0,0,NA,NA,NA,NA
1268,0,0,NA,NA,NA,NA
1269,0,0,NA,NA,NA,NA
1270,0,0,NA,NA,NA,NA
1271,0,0,NA,NA,NA,NA
1272,0,0,NA,NA,NA,NA
1273,0,0,NA,NA,NA,NA
1274,0,0,NA,NA,NA,NA
1275,0,1.045,NA,NA,NA,NA
1276,0,0,NA,NA,NA,NA
1277,0,0,NA,NA,NA,NA
1278,0,0,NA,NA,NA,NA
1279,0,0,NA,NA,NA,NA
1280,0,1.002,NA,NA,NA,NA
1281,0,0,NA,NA,NA,NA
1282,0,0,NA,NA,NA,NA
1283,0,1.051,NA,NA,NA,NA
1284,0,0,NA,NA,NA,NA
1285,0,0,NA,NA,NA,NA
1286,0,0,NA,NA,NA,NA
1287,0,0,NA,NA,NA,NA
1288,0,0,NA,NA,NA,NA
1289,0,0,NA,NA,NA,NA
1290,0,0.998,NA,NA,NA,NA
1291,0,0,NA,NA,NA,NA
1292,0,0,NA,NA,NA,NA
1293,0,0,NA,NA,NA,NA
1294,0,0,NA,NA,NA,NA
1295,0,0,NA,NA,NA,NA
1296,0,0,NA,NA,NA,NA
1297,0,0,NA,NA,NA,NA
1298,0,0,NA,NA,NA,NA
1299,0,0,NA,NA,NA,NA
1300,0,0,NA,NA,NA,NA
1301,0,0,NA,NA,NA,NA
1302,0,0,NA,NA,NA,NA
1303,0,1.005,NA,NA,NA,NA
1304,0,1.001,NA,NA,NA,NA
1305,0,0,NA,NA,NA,NA
1306,0,1.04,NA,NA,NA,NA
1307,0,0,NA,NA,NA,NA
1308,0,0,NA,NA,NA,NA
1309,0,0,NA,NA,NA,NA
1310,0,0,NA,NA,NA,NA
1311,0,1.053,NA,NA,NA,NA
1312,0,0,NA,NA,NA,NA
1313,0,0,NA,NA,NA,NA
1314,0,0,NA,NA,NA,NA
1315,0,0,NA,NA,NA,NA
1316,0,0,NA,NA,NA,NA
1317,0,1.043,NA,NA,NA,NA
1318,0,0,NA,NA,NA,NA
1319,0,1.022,NA,NA,NA,NA
1320,0,0,NA,NA,NA,NA
1321,0,0,NA,NA,NA,NA
1322,0,0,NA,NA,NA,NA
1323,0,0,NA,NA,NA,NA
1324,0,0,NA,NA,NA,NA
1325,0,0,NA,NA,NA,NA
1326,0,0,NA,NA,NA,NA
1327,0,0,NA,NA,NA,NA
1328,0,0,NA,NA,NA,NA
1329,0,0,NA,NA,NA,NA
1330,0,0,NA,NA,NA,NA
1331,0,0,NA,NA,NA,NA
1332,0,0,NA,NA,NA,NA
1333,0,0,NA,NA,NA,NA
1334,0,0,NA,NA,NA,NA
1335,0,0,NA,NA,NA,NA
1336,0,0,NA,NA,NA,NA
1337,0,0,NA,NA,NA,NA
1338,0,0,NA,NA,NA,NA
1339,0,0,NA,NA,NA,NA
1340,0,1.002,NA,NA,NA,NA
1341,0,0,NA,NA,NA,NA
1342,0,0,NA,NA,NA,NA
1343,0,1.028,NA,NA,NA,NA
1344,0,0,NA,NA,NA,NA
1345,0,0,NA,NA,NA,NA
1346,0,0,NA,NA,NA,NA
1347,0,0,NA,NA,NA,NA
1348,0,0,NA,NA,NA,NA
1349,0,0,NA,NA,NA,NA
1350,0,0,NA,NA,NA,NA
1351,0,0,NA,NA,NA,NA
1352,0,0,NA,NA,NA,NA
1353,0,0,NA,NA,NA,NA
1354,0,0,NA,NA,NA,NA
1355,0,0,NA,NA,NA,NA
1356,0,0,NA,NA,NA,NA
1357,0,0,NA,NA,NA,NA
1358,0,0,NA,NA,NA,NA
1359,0,0,NA,NA,NA,NA
1360,0,0,NA,NA,NA,NA
1361,0,0,NA,NA,NA,NA
1362,0,0,NA,NA,NA,NA
1363,0,0,NA,NA,NA,NA
1364,0,0,NA,NA,NA,NA
1365,0,0,NA,NA,NA,NA
1366,0,0,NA,NA,NA,NA
1367,0,0,NA,NA,NA,NA
1368,0,0,NA,NA,NA,NA
1369,0,0,NA,NA,NA,NA
1370,0,0,NA,NA,NA,NA
1371,0,1.024,NA,NA,NA,NA
1372,0,0,NA,NA,NA,NA
1373,0,0,NA,NA,NA,NA
1374,0,0,NA,NA,NA,NA
1375,0,0,NA,NA,NA,NA
1376,0,0,NA,NA,NA,NA
1377,0,0,NA,NA,NA,NA
1378,0,0,NA,NA,NA,NA
1379,0,0.525,NA,NA,NA,NA
1380,0,0,NA,NA,NA,NA
1381,0,0,NA,NA,NA,NA
1382,0,0,NA,NA,NA,NA
