FNo,ObjectCount,Time
1,1,8667.889000000001
2,1,441.176
3,1,443.638
4,1,446.50800000000004
5,1,466.872
6,1,447.286
7,1,472.09499999999997
8,1,458.234
9,1,444.479
10,1,476.117
11,1,453.403
12,1,426.118
13,1,450.042
14,1,459.513
15,1,437.93399999999997
16,1,469.39799999999997
17,1,445.717
18,1,453.335
19,1,469.62199999999996
20,1,646.144
21,1,616.889
22,1,610.87
23,0,584.606
24,0,526.0939999999999
25,0,539.92
26,0,572.427
27,0,553.6809999999999
28,0,584.272
29,0,579.21
30,0,602.375
31,0,518.491
32,0,461.794
33,0,484.55199999999996
34,0,517.784
35,0,556.6
36,0,509.911
37,0,479.457
38,0,475.098
39,0,511.865
40,0,531.207
41,0,463.10699999999997
42,0,474.42
43,0,479.323
44,0,502.2180000000001
45,0,465.266
46,0,494.956
47,0,469.539
48,0,445.407
49,0,471.363
50,0,481.411
51,0,462.03
52,0,458.04200000000003
53,0,437.189
54,1,487.241
55,1,558.5609999999999
56,1,578.0509999999999
57,1,561.513
58,1,573.721
59,1,546.1120000000001
60,1,634.043
61,1,626.321
62,1,156.158
63,1,137.356
64,1,617.096
65,1,1798.7569999999998
66,1,898.914
67,1,794.391
68,1,670.783
69,1,885.926
70,1,796.8960000000001
71,1,621.961
72,1,636.091
73,1,682.648
74,1,825.7860000000001
75,1,726.157
76,1,649.205
77,1,641.146
78,1,607.4549999999999
79,1,621.133
80,1,624.7040000000001
81,0,605.133
82,0,506.649
83,0,477.888
84,0,489.18600000000004
85,0,508.025
86,0,523.9
87,1,512.459
88,1,595.056
89,1,600.7510000000001
90,1,738.2189999999999
91,1,722.15
92,1,642.1510000000001
93,1,689.125
94,1,656.212
95,1,684.258
96,1,718.24
97,1,900.2520000000001
98,1,920.86
99,1,982.653
100,1,860.4309999999999
101,1,977.048
102,1,842.7900000000001
103,1,985.934
104,1,859.365
105,1,896.222
106,1,926.0279999999999
107,1,900.4720000000001
108,1,820.664
109,1,832.2
110,1,861.341
111,1,1325.164
112,1,2401.135
113,1,2009.2029999999997
114,0,1490.373
115,0,1089.214
116,0,1050.681
117,0,1417.905
118,0,1522.96
119,0,1338.9740000000002
120,0,916.082
121,0,807.5360000000001
122,0,758.95
123,0,741.9590000000001
124,0,642.1320000000001
125,0,810.6020000000001
126,0,650.9970000000001
127,0,701.294
128,0,631.738
129,0,652.011
130,0,672.593
131,0,699.5310000000001
132,0,686.761
133,0,870.709
134,0,600.025
135,0,709.7750000000001
136,1,670.0070000000001
137,1,804.7339999999999
138,1,862.2370000000001
139,1,767.094
140,1,729.844
141,1,773.615
142,1,770.7819999999999
143,1,757.217
144,1,898.9979999999999
145,1,753.413
146,1,1200.869
147,1,1238.969
148,1,955.596
149,1,969.742
150,1,972.299
151,1,1163.5729999999999
152,1,680.1310000000001
153,1,646.673
154,1,658.278
155,1,881.349
156,1,622.014
157,1,724.76
158,1,660.255
159,1,628.14
160,1,629.077
161,1,590.552
162,1,596.168
163,0,549.8729999999999
164,1,493.892
165,0,557.8340000000001
166,0,472.49600000000004
167,0,479.051
168,0,589.94
169,0,566.471
170,0,541.824
171,0,582.055
172,0,535.864
173,0,508.71299999999997
174,0,455.231
175,0,497.113
176,0,520.322
177,0,563.944
178,0,509.09099999999995
179,0,520.888
180,0,519.1759999999999
181,0,539.285
182,0,522.0369999999999
183,0,522.053
184,0,545.1310000000001
185,0,542.856
186,0,542.018
187,0,518.711
188,0,509.47900000000004
189,0,705.232
190,0,682.106
191,0,664.187
192,0,581.7529999999999
193,0,725.051
194,0,522.229
195,0,503.193
196,0,520.925
197,0,716.356
198,0,564.4559999999999
199,0,541.1669999999999
200,0,531.945
201,0,513.6899999999999
202,0,519.5699999999999
203,0,540.029
204,0,524.215
205,0,510.26700000000005
206,0,513.364
207,0,503.591
208,0,519.15
209,0,532.183
210,0,515.0369999999999
211,0,503.158
212,0,502.50300000000004
213,0,510.44500000000005
214,0,474.381
215,0,497.49100000000004
216,0,632.516
217,0,539.419
218,0,528.2099999999999
219,0,483.677
220,0,511.188
221,0,489.162
222,0,496.664
223,0,506.201
224,0,477.76800000000003
225,0,460.60699999999997
226,0,475.643
227,0,474.697
228,0,454.227
229,0,459.97900000000004
230,0,480.209
231,0,468.66
232,0,476.977
233,0,468.079
234,0,504.46899999999994
235,0,529.504
236,0,491.248
237,0,509.56199999999995
238,0,493.06600000000003
239,0,468.83799999999997
240,0,473.538
241,0,578.156
