FNo,ObjectCount,Time,Type,Boxes
642,0,0.0,NA,NA
643,0,0.0,NA,NA
644,0,0.0,NA,NA
645,0,0.0,NA,NA
646,0,0.0,NA,NA
647,0,0.0,NA,NA
648,0,0.0,NA,NA
649,0,0.0,NA,NA
650,0,0.0,NA,NA
651,1,75.01299999999999,['Sedan'],"[[(109, 183), (313, 360)]]"
652,1,69.01100000000001,['Hatchback'],"[[(112, 184), (298, 358)]]"
653,1,84.244,['Hatchback'],"[[(107, 179), (287, 359)]]"
654,1,111.806,['Hatchback'],"[[(104, 178), (270, 360)]]"
655,1,129.222,['Hatchback'],"[[(109, 175), (250, 360)]]"
656,1,110.703,['Hatchback'],"[[(107, 179), (241, 356)]]"
657,1,90.587,['Hatchback'],"[[(112, 179), (230, 360)]]"
658,1,95.579,['Hatchback'],"[[(117, 183), (206, 360)]]"
659,1,108.617,['Hatchback'],"[[(116, 181), (185, 360)]]"
660,1,117.96,['Hatchback'],"[[(115, 179), (172, 347)]]"
661,1,80.42,['Hatchback'],"[[(113, 180), (157, 328)]]"
662,1,88.519,['Hatchback'],"[[(119, 182), (150, 311)]]"
663,1,103.622,['Hatchback'],"[[(111, 178), (127, 299)]]"
664,1,88.644,['Hatchback'],"[[(113, 181), (118, 282)]]"
665,1,112.968,['Hatchback'],"[[(113, 181), (102, 262)]]"
666,1,90.58,['Hatchback'],"[[(114, 181), (91, 249)]]"
667,1,72.45100000000001,['Hatchback'],"[[(116, 178), (71, 228)]]"
668,1,66.953,['Hatchback'],"[[(117, 178), (41, 231)]]"
669,1,105.02499999999999,['Hatchback'],"[[(117, 180), (43, 199)]]"
670,1,79.634,['Hatchback'],"[[(113, 178), (20, 193)]]"
671,1,106.75800000000001,['Hatchback'],"[[(118, 181), (13, 167)]]"
672,1,84.62899999999999,['Hatchback'],"[[(116, 180), (0, 157)]]"
673,1,84.231,['Hatchback'],"[[(116, 180), (0, 139)]]"
674,1,89.142,['Hatchback'],"[[(114, 178), (0, 124)]]"
675,1,76.93700000000001,['Hatchback'],"[[(115, 176), (0, 109)]]"
676,1,87.633,['Hatchback'],"[[(112, 178), (0, 93)]]"
677,1,84.63900000000001,['Hatchback'],"[[(109, 182), (0, 74)]]"
678,1,84.64,['Hatchback'],"[[(96, 181), (1, 58)]]"
