FNo,ObjectCount,Time,ObjectColour
915,0,0.0,NA
916,0,0.0,NA
917,0,0.0,NA
918,0,0.0,NA
919,0,0.0,NA
920,0,0.0,NA
921,0,0.0,NA
922,0,0.0,NA
923,0,0.0,NA
924,0,0.0,NA
925,0,0.0,NA
926,0,0.0,NA
927,0,0.0,NA
928,0,0.0,NA
929,0,0.0,NA
930,0,0.0,NA
931,1,0.0,['Red']
932,1,0.0,['Red']
933,1,0.0,['Red']
934,1,1.004,['Red']
935,1,0.0,['Red']
936,1,0.0,['Red']
937,1,8.073,['Red']
938,1,8.051,['Red']
939,1,0.0,['Red']
940,1,0.0,['Red']
941,1,7.0600000000000005,['Red']
942,2,2.999,"['Silver', 'Red']"
943,2,0.0,"['Silver', 'Red']"
944,2,6.999,"['Silver', 'Red']"
945,2,0.0,"['Silver', 'Red']"
946,2,8.030000000000001,"['Silver', 'Red']"
947,2,5.999,"['Silver', 'Red']"
948,2,2.991,"['Silver', 'Red']"
949,2,5.0,"['Silver', 'Red']"
950,2,13.004,"['Red', 'Silver']"
951,2,8.041,"['Silver', 'Red']"
952,2,0.0,"['Silver', 'Red']"
953,2,0.0,"['Silver', 'Red']"
954,2,2.999,"['Silver', 'Red']"
955,2,6.068,"['Silver', 'Red']"
956,2,8.043,"['Silver', 'Red']"
957,2,6.999,"['Silver', 'Red']"
958,2,3.007,"['Red', 'Silver']"
959,1,10.119,['Silver']
960,1,0.0,['Silver']
961,1,3.999,['Silver']
962,1,1.001,['Silver']
963,1,2.997,['Silver']
964,0,0.0,NA
965,0,0.0,NA
966,0,0.0,NA
967,0,0.0,NA
968,0,0.0,NA
969,0,1.001,NA
970,0,0.0,NA
971,0,0.0,NA
972,0,0.0,NA
973,0,0.0,NA
974,0,0.0,NA
975,0,0.0,NA
976,0,0.0,NA
977,0,0.0,NA
978,0,0.0,NA
979,0,0.0,NA
980,0,0.9990000000000001,NA
981,0,0.9970000000000001,NA
982,0,0.0,NA
983,0,0.0,NA
984,0,0.0,NA
985,0,0.0,NA
986,0,0.0,NA
987,0,0.0,NA
988,0,0.0,NA
989,0,0.0,NA
990,0,0.0,NA
991,0,0.0,NA
992,0,0.0,NA
993,0,0.0,NA
994,0,0.0,NA
995,0,0.0,NA
996,0,0.0,NA
997,0,0.0,NA
998,0,0.0,NA
999,0,0.0,NA
1000,0,0.0,NA
1001,0,0.0,NA
1002,0,0.0,NA
1003,0,0.0,NA
1004,0,0.0,NA
1005,0,0.0,NA
1006,0,0.0,NA
1007,0,0.0,NA
1008,0,0.0,NA
1009,0,0.0,NA
1010,0,0.0,NA
1011,0,0.0,NA
1012,0,1.0,NA
1013,0,0.0,NA
1014,0,2.034,NA
1015,0,0.0,NA
1016,0,0.0,NA
1017,0,0.0,NA
1018,0,0.0,NA
1019,0,0.0,NA
1020,0,0.0,NA
1021,0,0.0,NA
1022,0,0.0,NA
1023,0,2.012,NA
1024,0,0.0,NA
1025,0,0.0,NA
1026,0,0.0,NA
1027,0,0.0,NA
1028,0,0.0,NA
1029,0,0.0,NA
1030,0,0.0,NA
1031,0,0.0,NA
1032,0,2.034,NA
1033,0,0.0,NA
1034,0,0.0,NA
1035,0,0.0,NA
1036,0,0.0,NA
1037,0,0.0,NA
1038,0,0.0,NA
1039,0,0.0,NA
1040,0,0.0,NA
1041,1,0.0,['Black']
1042,0,0.0,NA
1043,1,0.0,['Black']
1044,1,0.0,['Black']
1045,1,0.0,['Black']
1046,1,0.0,['Black']
1047,1,2.0,['Black']
1048,1,0.0,['Black']
1049,1,0.0,['Black']
1050,1,2.032,['Black']
1051,1,2.0439999999999996,['Black']
1052,1,0.0,['Black']
1053,1,0.13899999999999998,['Black']
1054,1,1.996,['Black']
1055,1,8.047,['Black']
1056,1,1.9919999999999998,['Black']
1057,1,0.0,['Black']
1058,1,0.0,['Black']
1059,1,0.0,['Black']
1060,1,2.045,['Black']
1061,1,8.387,['Black']
1062,1,0.0,['Black']
1063,1,1.001,['Black']
1064,1,8.047,['Black']
1065,1,2.0439999999999996,['Black']
